,location,title,company,salary,salrange
246,"Chicago, IL","CRM STRATEGIST (TrackDDB, a We Are Unlimited embedded agency...",No Company Listed,No Salary Listed,60000
247,"Chicago, IL",Scientist - Data and Statistics,United Airlines,No Salary Listed,60000
248,"Chicago, IL",Statistician,"Vizient, Inc.",No Salary Listed,60000
249,"Chicago, IL",Capital One - Director of Data Science,No Company Listed,No Salary Listed,60000
250,"Chicago, IL",Sr. Bealime Scientist,University of Chicago,No Salary Listed,60000
251,"Chicago, IL",Data Quality Engineer,University of Chicago,No Salary Listed,60000
252,"Chicago, IL",Capital One - Director of Data Science,No Company Listed,No Salary Listed,60000
253,"Chicago, IL",Covenant Analyst - Xtract Research,Mergermarket Group,No Salary Listed,60000
254,"Chicago, IL","CRM STRATEGIST (TrackDDB, a We Are Unlimited embedded agency...",No Company Listed,No Salary Listed,60000
255,"Deerfield, IL",Data Scientist,No Company Listed,"$125,000 a year",60000
256,"Chicago, IL",No Job Title Listed,Hyatt,No Salary Listed,60000
257,"Chicago, IL",Sr. Bealime Scientist,University of Chicago,No Salary Listed,60000
258,"Chicago, IL",Senior Quantitative Analyst- Asset Allocation,Huxley Associates,"$185,000 a year",60000
259,"Chicago, IL",Quantitative Risk Analyst,Huxley Associates,"$100,000 a year",60000
260,"Chicago, IL",Data Scientist (Operations Engineering),No Company Listed,No Salary Listed,60000
261,"Chicago, IL",No Job Title Listed,Hyatt,No Salary Listed,60000
262,"Chicago, IL 60654 (Loop area)",Senior Financial Analyst - Sales,Dyson,No Salary Listed,60000
263,"Chicago, IL 60601 (Loop area)",Big Data Manager,United Airlines Inc.,No Salary Listed,60000
264,"Chicago, IL 60654 (Loop area)",Computational Biologists- Pharmacogenomics,Tempus,No Salary Listed,60000
265,"Chicago, IL",Biomedical Informatics Research Specialist - Cancer Center,University of Illinois at Chicago,No Salary Listed,60000
266,"Chicago, IL",Senior Quantitative Analyst- Asset Allocation,Huxley Associates,"$185,000 a year",60000
267,"Chicago, IL",Lead Data Scientist,ISO,No Salary Listed,60000
268,"Chicago, IL",Digital Payer Consultant - Healthcare Analytics,McKinsey & Company,No Salary Listed,60000
269,"Chicago, IL",Quantitative Risk Analyst,Huxley Associates,"$100,000 a year",60000
270,"Chicago, IL 60654 (Loop area)",Variant Scientist,Tempus,No Salary Listed,60000
