,location,title,company,salary,salrange,state,city
3803,"Chicago, IL 60606 (Loop area)",Data Scientist/Modeling - Applied Technology - 13350,Crowe Horwath,No Salary Listed,100000,IL,Chicago
3804,"Chicago, IL","Engineer, Machine Learning & AI",Lenovo,No Salary Listed,100000,IL,Chicago
3805,"Chicago, IL 60654 (Loop area)",Data Scientist - Groupon Getaways,Groupon,No Salary Listed,100000,IL,Chicago
3806,"Chicago, IL","Advisory Engineer, Machine Learning & AI",Motorola Mobility,No Salary Listed,100000,IL,Chicago
3807,"Chicago, IL","Consulting Engineer, Machine Learning & AI",Motorola Mobility,No Salary Listed,100000,IL,Chicago
3808,"Chicago, IL 60601 (Loop area)",Data Scientist,KPMG,No Salary Listed,100000,IL,Chicago
3809,"Chicago, IL",Data Scientist,"Vizient, Inc.",No Salary Listed,100000,IL,Chicago
3810,"Chicago, IL",Scientist - Operations Research,United Airlines,No Salary Listed,100000,IL,Chicago
3811,"Chicago, IL 60601 (Loop area)",Scientist - Operations Research,United Airlines Inc.,No Salary Listed,100000,IL,Chicago
3812,"Chicago, IL 60601 (Loop area)",Scientist - Data and Statistics,United Airlines Inc.,No Salary Listed,100000,IL,Chicago
3813,"Chicago, IL",Data Scientist,AllianceData,No Salary Listed,100000,IL,Chicago
3814,"Chicago, IL",Data Scientist,Tempus,No Salary Listed,100000,IL,Chicago
3815,"Chicago, IL",Data Scientist,Jobspring Partners,120000,100000,IL,Chicago
3816,"Chicago, IL","Analyst - Periscope Advanced Insights - Growth Mapping, McKi...",McKinsey & Company,No Salary Listed,100000,IL,Chicago
3817,"Itasca, IL",Data Scientist,Knowles,No Salary Listed,100000,IL,Itasca
3818,"Chicago, IL 60654 (Loop area)",Data Scientists Lead - Visualization,"Anthem, Inc.",No Salary Listed,100000,IL,Chicago
3819,"Chicago, IL",Data Scientist,Epsilon,No Salary Listed,100000,IL,Chicago
3820,"Chicago, IL","AVP, Lead Data Scientist (L11)",Synchrony Financial,No Salary Listed,100000,IL,Chicago
3821,"Chicago, IL 60606 (Loop area)",Senior Data Scientist,Conversant Media,No Salary Listed,100000,IL,Chicago
